Parts List	Designator	Value	Part Number	Digikey Number	Cost	MSA	Notes
Rev D	xx-alt	alternate	can be substituted				
7/23/2009	xx-opt	optional	"used or deleted, builder's choice"				
PLSLIM-DDS-107	C1	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-DDS-107	C2	.1 uF	C0805C104K3RACTU	399-1168-1-ND	0.05	0.05	
PLSLIM-DDS-107	C3	10uf/35v ceramic	GMK316F106ZL-T	587-1352-1-ND	0.35	0.35	"Rev B, preferred, low ESR"
PLSLIM-DDS-107	C3-alt	10uf/16v	VISHAY 293D106X9016A2TE3	718-1123-1-ND	0.15	0.15	
PLSLIM-DDS-107	C4	.1 uF	C0805C104K3RACTU	399-1168-1-ND	0.05	0.05	
PLSLIM-DDS-107	C5	10uf/35v ceramic	GMK316F106ZL-T	587-1352-1-ND	0.35	0.35	"Rev B, preferred, low ESR"
PLSLIM-DDS-107	C5-alt	10uf/16v	VISHAY 293D106X9016A2TE3	718-1123-1-ND	0.15	0.15	
PLSLIM-DDS-107	C6	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-DDS-107	C7	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-DDS-107	C8	.001 uF	ECJ-2VC1H102J	PCC102CGCT-ND	0.08	0.08	
PLSLIM-DDS-107	C9	.001 uF	ECJ-2VC1H102J	PCC102CGCT-ND	0.08	0.08	
PLSLIM-DDS-107	C10	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-DDS-107	C11	.001 uF	ECJ-2VC1H102J	PCC102CGCT-ND	0.08	0.08	
PLSLIM-DDS-107	C12	.001 uF	ECJ-2VC1H102J	PCC102CGCT-ND	0.08	0.08	
PLSLIM-DDS-107	C13	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-DDS-107	C14	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-DDS-107	C15	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-DDS-107	C16	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-DDS-107	C17	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-DDS-107	C18	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-DDS-107	C19	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-DDS-107	C20	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-DDS-107	C21	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-DDS-107	C22	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-DDS-107	C23	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-DDS-107	C24	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-DDS-107	C25	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-DDS-107	C26	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-DDS-107	C27						"Rev B, deleted"
PLSLIM-DDS-107	C28	33 pF	C0805C330J5GACTU	399-1115-1-ND	0.06	0.06	
PLSLIM-DDS-107	C29	33 pF	C0805C330J5GACTU	399-1115-1-ND	0.06	0.06	
PLSLIM-DDS-107	C30	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-DDS-107	C31	.1 uF	C0805C104K3RACTU	399-1168-1-ND	0.05	0.05	
PLSLIM-DDS-107	C32						"Rev B, deleted"
PLSLIM-DDS-107	C33	.1 uF	C0805C104K3RACTU	399-1168-1-ND	0.05	0.05	
PLSLIM-DDS-107	C34	33 pF	C0805C330J5GACTU	399-1115-1-ND	0.06	0.06	"Rev D, added"
