Parts List	Designator	Value	Part Number	Digikey Number	Cost	MSA	Notes
Rev A	xx-alt	alternate	can be substituted				
4/25/2008	xx-opt	optional	"used or deleted, builder's choice"				
PLSLIM-IFA-33	C1	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-IFA-33	C2	.1 uF	C0805C104K3RACTU	399-1168-1-ND	0.05	0.05	
PLSLIM-IFA-33	C3	.1 uF	C0805C104K3RACTU	399-1168-1-ND	0.05	0.05	
PLSLIM-IFA-33	C4	.1 uF	C0805C104K3RACTU	399-1168-1-ND	0.05	0.05	
PLSLIM-IFA-33	C5	10uf/16v	VISHAY 293D106X9016A2TE3	718-1123-1-ND	0.15	0.15	
PLSLIM-IFA-33	C5-alt	10uf/35v ceramic	GMK316F106ZL-T	587-1352-1-ND	0.35		low ESR
PLSLIM-IFA-33	C6	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-IFA-33	C7	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-IFA-33	C8	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-IFA-33	C9						"Rev A, Deleted"
PLSLIM-IFA-33	C10	.001 uF	ECJ-2VC1H102J	PCC102CGCT-ND	0.08	0.08	"Rev A, change from 68 pF to 1000 pF"
PLSLIM-IFA-33	C11	.001 uF	ECJ-2VC1H102J	PCC102CGCT-ND	0.08	0.08	"Rev A, change from 68 pF to 1000 pF"
PLSLIM-IFA-33	C12	.1 uF	C0805C104K3RACTU	399-1168-1-ND	0.05	0.05	
PLSLIM-IFA-33	C13	.1 uF	C0805C104K3RACTU	399-1168-1-ND	0.05	0.05	
PLSLIM-IFA-33	C14	.1 uF	C0805C104K3RACTU	399-1168-1-ND	0.05	0.05	
PLSLIM-IFA-33	C15	10uf/16v	VISHAY 293D106X9016A2TE3	718-1123-1-ND	0.15	0.15	
PLSLIM-IFA-33	C15-alt	10uf/35v ceramic	GMK316F106ZL-T	587-1352-1-ND	0.35		low ESR
PLSLIM-IFA-33	C16	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-IFA-33	C17	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-IFA-33	C18	.01 uF	C0805C103K5RACTU	399-1158-1-ND	0.04	0.04	
PLSLIM-IFA-33	C19						"Rev A, Deleted"
PLSLIM-IFA-33	C26	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	"Rev A, added"
PLSLIM-IFA-33	C28	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	"Rev A, change from 680 pF to 100 pF"
PLSLIM-IFA-33	C36	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	"Rev A, added"
PLSLIM-IFA-33	C38	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	"Rev A, change from 680 pF to 100 pF"
PLSLIM-IFA-33	FB1	Ferite Bead	BLM21PG221SN1D	490-1054-1-ND	0.06	0.06	
PLSLIM-IFA-33	FB2	Ferite Bead	BLM21PG221SN1D	490-1054-1-ND	0.06	0.06	
PLSLIM-IFA-33	J1-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-IFA-33	J2-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-IFA-33	J3-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-IFA-33	J4-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-IFA-33	L1	3.3 uH	MLF2012A3R3K	445-1053-1-ND	0.41	0.41	"Rev A, change from 330 nH to 3.3 uH"
PLSLIM-IFA-33	L2	3.3 uH	MLF2012A3R3K	445-1053-1-ND	0.41	0.41	"Rev A, change from 330 nH to 3.3 uH"
PLSLIM-IFA-33	L27	330 nH	PM0805-R33K	M1171CT-ND	0.53	0.53	"Rev A, change from 3.3 uH to 330 nH"
PLSLIM-IFA-33	L29						"Rev A, Deleted"
PLSLIM-IFA-33	L37	330 nH	PM0805-R33K	M1171CT-ND	0.53	0.53	"Rev A, change from 3.3 uH to 330 nH"
PLSLIM-IFA-33	L39						"Rev A, Deleted"
PLSLIM-IFA-33	P1	"Conn, 2 pin"	 S1012-36-ND is row of 36 pins	(partial) S1012-36-ND	0.06	0.06	
PLSLIM-IFA-33	R1	75 1/4W	MCR18EZHF75.0	RHM75.0FCT-ND	0.05	0.05	
PLSLIM-IFA-33	R2	75 1/4W	RHM75.0F	RHM75.0FCT-ND	0.05	0.05	
PLSLIM-IFA-33	R3	75 1/4W	RHM75.0F	RHM75.0FCT-ND	0.05	0.05	
PLSLIM-IFA-33	R4	75 1/4W	RHM75.0F	RHM75.0FCT-ND	0.05	0.05	
PLSLIM-IFA-33	R22	0	MCR10EZHJ0.0	RHM0.0ACT-ND	0.08	0.08	
PLSLIM-IFA-33	R23	0	MCR10EZHJ0.0	RHM0.0ACT-ND	0.08	0.08	
PLSLIM-IFA-33	R32	0	MCR10EZHJ0.0	RHM0.0ACT-ND	0.08	0.08	
PLSLIM-IFA-33	R33	0	MCR10EZHJ0.0	RHM0.0ACT-ND	0.08	0.08
PLSLIM-IFA-33	U1	ERA-33SM	Minicircuits ERA-33SM	Minicircuits	1.72	1.72
PLSLIM-IFA-33	U2	ERA-33SM	Minicircuits ERA-33SM	Minicircuits	1.72	1.72
PLSLIM-IFA-33	PWB	Circuit Board	PWB-RFA		3.28	3.28
				PLSLIM-IFA-33	30.22	10.56
