Parts List	Designator	Value	Part Number	Digikey Number	Cost	MSA	Notes
Rev 0	xx-alt	alternate	can be substituted				
7/1/2007	xx-opt	optional	"used or deleted, builder's choice"				
PLSLIM-MCF-L024	X5	68 pF	ECJ-2VC1H680J	PCC680CGCT-ND	0.05	0.05	
PLSLIM-MCF-L024	X6	68 pF	ECJ-2VC1H680J	PCC680CGCT-ND	0.05	0.05	
PLSLIM-MCF-L024	J1-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-MCF-L024	J2-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-MCF-L024	X4	2.2 uH	MLF2012A2R2K	445-1051-1-ND	0.41	0.41	
PLSLIM-MCF-L024	X7	2.2 uH	MLF2012A2R2K	445-1051-1-ND	0.41	0.41	
PLSLIM-MCF-L024	X2	0	MCR10EZHJ0.0	RHM0.0ACT-ND	0.08	0.08	
PLSLIM-MCF-L024	X9	0	MCR10EZHJ0.0	RHM0.0ACT-ND	0.08	0.08	
PLSLIM-MCF-L024	XF	10.695 / 2.2	"10L024, 600ohm/15pf, 4dB loss"	U.S.Electronics	12	12	
PLSLIM-MCF-L024	PWB	Circuit Board	PWB-MCF		3.28	3.28	
					22.56	13.08	
							
